,name,slug,mc,sector,category,tagline,desc
XSR,XSR,xsr,,,,,
SH,Shilling,shilling,,,,,
STU,bitJob,bitjob-1,,,,,
MAGGIE,Maggie,maggie,,,,,
AAA,AAAchain,aaachain,,,,,
CC10,Indexed Cryptocurrency Top 10 Index,indexed-cryptocurrency-top-10-index,,Asset Management,Financial,,Indexed Finance Top 10 Cryptocurrency Index
BEEP,BEEP,beep,,,,,
BCA,Bitcoin Atom,bitcoin-atom,,,,A Bitcoin fork experimenting with atomic swaps and hybrid consensus,"Bitcoin Atom is a SegWit enabled Bitcoin fork for atomic swaps, hybrid consensus and Lightning Network experimentation. 
"
UNRC,UniversalRoyalCoin,universalroyalcoin,,,,,
BITR,Bit Reward,bit-reward,,,,,
BLAZECOIN,BlazeCoin,blazecoin,,,,,
NANAS,BananaBits,bananabits,,,,,
1CR,1CRedit,1credit,,,,,
SIMP,Simplecash,simplecash,,,,,
SPHTX,SophiaTX,sophiatx-1,,,,,
DEUS,DEUS Finance,deus-finance,,,,,
NICE,NiceCoin,nicecoin,,,,,
AMS,AmsterdamCoin,amsterdamcoin,,,,,
ARTA,Artadigital,artadigital,,,,,
COOC,CoochieCoin,coochiecoin,,,,,
TIME,Chrono.tech,chronobank-1,,,,,
THEMERMAIDCOIN,TheMermaidCoin,themermaidcoin,,,,,
FSCC,FSCC,fscc,,,,,
DRKT,DarkTron,darktron,,,,,
MBC,MicroBitcoin,microbitcoin,,,,A Bitcoin fork focused on micro-economy use,"MicroBitcoin is a Bitcoin fork with 10,000 times the supply of Bitcoin focused on cheap fees and CPU mining built for micro-economies.
"
SMLY,SmileyCoin,smileycoin,,,,,
HZN,Horizon Protocol ,horizon-protocol,,,,,
IOV,Starname,starname,,Identity,Services,,
BULLS,Bullshitcoin,bullshitcoin,,,,,
SILK2,SilkCoin2,silkcoin2,,,,,
WISC,WisdomCoin,wisdomcoin,,,,,
FLDC,FoldingCoin,foldingcoin,,,,,
LITEMINEX,LiteMineX,liteminex,,,,,
HYC,Hycon,hycon,,Application Development,Infrastructure,,
AIO,AIO,aio,,,,,
RAIN,Condensate,condensate,,,,,
SW,SW,sw,,,,,
WASH,WashingtonCoin,washingtoncoin,,,,,
NODES,NODES,nodes,,,,,
AUD,Australian Dollar,australian-dollar,,,,,
KGC,KrugerCoin,krugercoin,,,,,
PLM,Plasm Network,plasm-network,,Smart Contract Platforms,Infrastructure,,
LUX,LUXCoin,luxcoin-1,,,,,
HIFUN,Satoshi Fun,satoshi-fun,,,,,
BENJI,BenjiRolls,benjirolls,,,,,
POLOB,PoloBittShares,polobittshares,,,,,
DKD,Dekado,dekado,,,,,
NIS,NIS,nis,,,,,
GCR,Global Currency Reserve,global-currency-reserve,,,,,
OPAL,Opal,opal,,,,,
PHI,PHI Token,phi-token,,,,,
FIL36,FIL36,fil36,,,,,
TX,TransferCoin,transfercoin,,,,,
SER,SER,ser,,,,,
LHBTC,Lightning Bitcoin,lightning-bitcoin-1,,,,,
SIGU,Singular,singular,,,,,
SCS,SpeedCash,speedcash,,,,,
EGOLD,EGOLD,egold-1,,,,,
OLYMP,OlympCoin,olympcoin,,,,,
SWT,Swarm City,swarm-city,,,,,
GAKH,GAKHcoin,gakhcoin,,,,,
XSH,SHIELD,shield,,,,,
QC,QC,qc,,,,,
MRN,Mercoin,mercoin,,,,,
BIP,BipCoin,bipcoin,,,,,
WEEK,Weekend,weekend,,,,,
MAPS,MAPS,maps,,Information,Services,,
UPSCALETOKEN,UpscaleToken,upscaletoken,,,,,
PIPL,PiplCoin,piplcoin,,,,,
BOE,Bodhi [ETH],bodhi-eth,,,,,
TRDT,Trident Group,trident-group,,,,,
SCASH,SpaceCash,spacecash,,,,,
KRONE,Kronecoin,kronecoin,,,,,
PENC,PenCoin,pencoin,,,,,
LAMBO,Lambocoin,lambocoin,,,,,
SKIN,SkinCoin,skincoin-1,,,,,
UR,UR,ur,,,,,
TVT,TVT,tvt,,,,,
KORUNA,CzechoSlovak KORUNA,czechoslovak-koruna,,,,,
REAL,REAL,real-1,,,,,
VIRAL,Viral Coin,viral-coin,,,,,
TUN,Tune,tune,,,,,
DKK,Danish Krone,danish-krone,,,,,
TKTX,TKTX,tktx,,,,,
GEERT,GeertCoin,geertcoin,,,,,
TRTO,TrollToken,trolltoken,,,,,
XRC,Rawcoin,rawcoin,,,,,
TNT,Tierion,tierion,,Data Management,Services,Universal platform for data verification,Tierion aims to be a universal equivalent for safeguarding digital data.
FIII,Fiii,fiii,,,,,
LMC,LoMoCoin,lomocoin,,,,,
EVE,Devery,devery-1,,,,,
ARCONA,Arcona,arcona-1,,,,,
VEGI,VEGI,vegi,,,,,
UXC,Unix,unix,,,,,
SHREK,ShrekCoin,shrekcoin,,,,,
HKG,Hacker Gold,hacker-gold,,,,,
HAUS,DAOhaus,daohaus,,,Infrastructure,Magic Internet Communities for All™️,
UNIS,UniverseShield,universeshield,,,,,
AWC,Atomic Wallet Coin,atomic-wallet-coin,,Wallet,Financial,Internal currency for Atomic Wallet users,"Atomic Wallet Coin (AWC) is the internal currency for the Atomic Wallet, a self-proclaimed non-custodial cryptocurrency wallet application that allows for in-app trading. The AWC token aims to give holders benefits within the Atomic Wallet app, including discounts on exchange services, extra features for the trading desk, affiliate and bounty rewards, and dedicated support, among others. Atomic Wallet claims it exchanges cryptocurrencies across disparate networks through the use of <a href=""https://messari.io/resource/atomic-swaps"">atomic swaps</a>. However, it leverages crypto exchanges ShapeShift, ChangeNOW, and Changelly for assets not supported by the app's atomic swap function."
JOCKER,JOCKER,jocker,,,,,
LAT,Latium,latium-1,,,,,
XSG,SnowGem,snowgem,,,,,
X2,X2Coin,x2coin,,,,,
BEER,Beerhouse,beerhouse,,,,,
CBLT,Cobalt,cobalt,,Lending,Financial,,Community voted lending protocol.
INV,Invacio,invacio,,,,,
DEFI+L,PieDAO DEFI Large Cap Index,piedao-defi-large-cap-index,,Asset Management,Financial,,
MXM,Maximine Coin,maximine-coin,,Mining,Infrastructure,,
BITUS,Bitcoinus,bitcoinus,,,,,
LOCUS,Locus Chain,locus-chain,,,,,
ICN,Iconomi,iconomi,,Asset Management,Financial,,
ZIPT,Zippie,zippie,,,,,
MILO,MiloCoin,milocoin,,,,,
BILL,BILL,bill,,,,,
TAXI,Taxi,taxi,,,,,
CHIP,Chip,chip,,,,,
EEE,Elementh,elementh-1,,,,,
MIX,MixMarvel,mixmarvel,,,,,
GBT,GameBetCoin,game-bet-coin,,,,,
ADZ,Adzcoin,adzcoin,,,,,
NZD,New Zealand Dollar,new-zealand-dollar,,,,,
MENTAL,MentalHealthCoin,mentalhealthcoin,,,,,
HIRE,HireMatch,hirematch-1,,,,,
SGN,Signals Network,signals-network-1,,,,,
SNY,Synthetify Token,synthetify-token,,,,,
CYC,cycling,cycling,,,,,
SAROS,SAROS,saros,,,,,
WATCH,Yieldwatch,yieldwatch,,,,,
DGORE,DogeGoreCoin,dogegorecoin,,,,,
EQT,EquiTrader,equitrader,,,,,
QORA,Qora,qora,,,,,
XPS,PoisonIvyCoin,poisonivycoin,,,,,
CREVA2,Crevacoin2,crevacoin2,,,,,
GLBT,Globatalent,globatalent,,Tokenization,Financial,,
ICE,Popsicle Finance,popsicle-finance,,Asset Management,Financial,,
ZET,Zetacoin,zetacoin,,,,,
KLN,Kolion,kolion,,,,,
BCS,Bitcoin Star,bitcoin-star,,,,A Bitcoin fork for privacy and information management,"Bitcoin Star is a Bitcoin fork that wants to build for maximum on-chain privacy and user information management tools.
"
ISL,IslaCoin,islacoin,,,,,
DAVE,Decentralized Autonomous Vehicle,decentralized-autonomous-vehicle,,,,,
B2G,Bitcoiin,bitcoiin,,,,,
LALA,LALA World,lala-world-1,,,,,
SHFT,Shyft Network,shyft-network,,Interoperability,Infrastructure,,
ETF,ETF,etf,,,,,
ACA,Acala,acala,,Lending,Financial,A decentralized finance hub and stablecoin platform powering cross blockchain liquidity and applications.,"Acala designed its network to be the financial hub of the <a href=""https://messari.io/asset/polkadot"">Polkadot</a> ecosystem. Modeled after the <a href=""https://messari.io/asset/maker/profile"">Maker</a> network on Ethereum, Acala will deploy three products to secure parachain staking, create cross-chain liquidity, and issue the algorithmic stablecoin, aUSD, collateralized by multi-chain assets. The Acala Foundation will oversee the network until it reaches full decentralization, at which point ACA token holders will govern the network and its applications."
SUDU,Bitcoin Sudu,bitcoin-sudu,,,,An experimental Bitcoin fork focusing on speed and anonymity,"Bitcoin Sudu is a Bitcoin fork that claims to offer complete anonymity and fast transaction confirmation. 
"
BRL,Brazilian Real,brazilian-real,,,,,
CGC,CGCOINS,cgcoins,,,,,
ILS,Israeli New Sheqel,israeli-new-sheqel,,,,,
PRA,ProChain,prochain,,Advertising,Media and Entertainment,,
HERO,Raise,hero,,,,,
IOTE,IOTEdge Network,iotedge-network,,,,,
FCOIN,Fcoin,fcoin,,,,,
HUNCOIN,Huncoin,huncoin,,,,,
PEPECASH,Pepe Cash,pepe-cash,,,,,
SAT,Social Activity Token,social-activity-token,,,,,
GOTX,GothicCoin,gothiccoin,,,,,
FIDGT,Fidget,fidget,,,,,
DRG,Dragon Coins,dragon-coins,,,,,
BTC2,Bitcoin 2,bitcoin-2,,,,A Proof-of-Stake Bitcoin fork focused on anonymity,"Bitcoin 2 is a Proof-of-Stake Bitcoin fork focused on anonymity and base-layer scalability.
"
QVT,Qvolta,qvolta-1,,,,,
BTCS,Bitcoin Scrypt,bitcoin-scrypt,,,,,
RICE,RiceCoin,ricecoin,,,,,
CV2,Colossus2,colossus2,,,,,
LX,LunarX,lunarx,,,,,
XCXT,CoinonatX,coinonatx,,,,,
BUNNY,BunnyToken,bunnytoken,,,,,
BINS,Bitsense,bitsense,,,,,
LIZ,Lizus Payments,lizus-payments,,,,,
TRON,Positron,positron,,,,,
VND,Vietnamese Dong,vietnamese-dong,,,,,
TOPAZ,TopazCoin,topazcoin,,,,,
OLE,Olive,olive,,,,,
SGCC,Super Game Chain,super-game-chain,,,,,
RDC,Ordocoin,ordocoin,,,,,
XJP,XJP,xjp,,,,,
CVH,Curriculum Vitae,curriculum-vitae,,,,,
HOLLY,Hollyweed,hollyweed,,,,,
WGO,WavesGo,wavesgo,,,,,
VLD,Vetri,vetri,,,,,
SPR,SpreadCoin,spreadcoin,,,,,
SAMO,Samoyedcoin,samoyedcoin,,,,,
KRM,Karma,karma-2,,,,,
MNC,Mincoin,mincoin,,,,,
MCRN,MACRON,macron,,,,,
LCD,LCD,lcd,,,,,
DBLK,Digitalblock,digitalblock,,,,,
BCHC,Bitcoin Clashic,bitcoin-clashic,,,,A fork of Bitcoin similar to Bitcoin Cash,"Bitcoin Clashic is a Bitcoin fork keen on following Satoshi’s vision for Bitcoin.
"
ZIRK,ZIRK,zirk,,,,,
XBS,Bitstake,bitstake,,,,,
FIL12,FIL12,fil12,,,,,
IETH,iEthereum,iethereum,,,,,
EMPC,EmporiumCoin,emporiumcoin,,,,,
ML,ML,ml,,,,,
BN,Bitcoin Nano,bitcoin-nano,,,,A Bitcoin fork focused on application development,"Bitcoin Nano is a Bitcoin fork focused on a better user experience and a wider range of application development optionality. 
"
PSB,PesoBit,pesobit,,,,,
WID,WID,wid,,,,,
WA,WA Space,wa-space,,,,,
SST,SSTCoin,sstcoin,,,,,
HOPE,Hopecoin,hopecoin-1,,,,,
VLU,Valuto,valuto,,,,,
PENDLE,Pendle,pendle,,Decentralized exchanges,Financial,Automated Market Maker for Yield Trading,Pendle is an AMM designed for trading yield tokens or any other assets with time decay.
UDOWN,UDOWN,udown,,,,,
BITZ,Bitz Coin,bitz-coin,,,,,
BM,BITCOMO,bitcomo-1,,,,,
MINA,Mina,coda,,Smart Contract Platforms,Infrastructure,"The world’s lightest blockchain, powered by participants","Mina is a ""lightweight"" smart contract platform with aspirations to be a global payment system. It aims to address the scalability issues present in existing blockchains where the cost to verify the blockchain grows proportionally with total transaction throughput. In these cases, the cost of running a network node eventually exceeds the resources available to most real-world users.

The goal of Mina is to design a decentralized payment system that offers efficient verification of system history from genesis without relying on any external advice. This is achieved by the following properties:
A formal notion of a “succinct blockchain”
Generic functionalities modeled as replicated state machines using incrementally computable SNARKs
Concrete implementation of a payments system called Mina
Ouroboros Samasika, a provably-secure PoS consensus protocol that is adaptively secure and offers bootstrapping from genesis.
Parallel scan state to improve transaction confirmation time beyond the limits otherwise imposed by the proof construction.
Performance evaluation report of executing the protocol involving a public community."
ONX,Onix,onix,,,,,
CNNC,Cannation,cannation,,,,,
BRM,BrahmaOS,brahmaos,,,,,
GOKUOLD,GokuCoin OLD,gokucoin-old,,,,,
EFYT,Ergo,ergo,,,,,
BITCOINSTAKE,BitcoinStake,bitcoinstake,,,,,
TOP,Tongan Paʻanga,tongan-pa-anga,,,,,
PEO,People,people,,,,,
MYB,MyBit,mybit-1,,,,,
UMT,Universal Mobile Token,universal-mobile-token,,,,,
UMX,UMX,umx,,Decentralized Exchanges,Financial,,
BIT,First Bitcoin,first-bitcoin,,,,,
AUM,Alexium,alexium,,,,,
SLEEP,SLEEP,sleep,,,,,
EVC,EventChain,eventchain-1,,,,,
AM,AeroMe,aerome,,,,,
SECO,Serum Ecosystem Token,serum-ecosystem-token,,,,,
AMN,Amon,amon-1,,,,,
LITE,LITE,lite,,,,,
GC.COMM,Gold,gold,,,,,
WIT,WITChain,witchain,,,,,
NDR,Node Runners,node-runners,,Gaming,Media and Entertainment,,
KUSH,KushCoin,kushcoin,,,,,
EMT,EasyMine,easymine-1,,,,,
CANYACOIN,CanYaCoin,canyacoin,,,,,
JOT,Jury.Online Token,jury-online-token,,,,,
RIC,Riecoin,riecoin,,,,,
RAI,RAI Finance,rai-finance,,,,,
MOOND,Dark Moon,dark-moon,,,,,
XSPEC,Spectrecoin,spectrecoin-1,,,,,
TCX,Torrent,torrent,,,,,
CLPC,CLP Token,clp-token,,,,,
ULSC,Ultimate Secure Cash,ultimate-secure-cash,,,,,
365,365Coin,365coin,,,,,
KEYY,Key,key,,,,,
BUN,BunnyCoin,bunnycoin,,,,,
BUZZ,BUZZCoin,buzzcoin,,,,,
ICC,Insta Cash Coin,insta-cash-coin,,,,,
ETL,EtherLite,etherlite,,,,,
SWIFT,SwiftCash,swiftcash,,Currencies,Payments,A Proof-of-Stake blockchain focused on daily transaction use and governance ,SwiftCash is an open-source Proof-of-Stake (PoS) blockchain building on the design characteristics of Bitcoin Green and Peercoin to deliver a secure and energy efficient decentralized value transfer network.
CROC,CROC,croc,,,,,
BT1,Bitcoin BT1 CST,bitcoin-bt1-cst,,,,,
BDS,Borderless,borderless,,,,,
VRS,Veros,veros,,,,,
NYZO,Nyzo,nyzo,,Payment Platforms,Financial,Proof of diversity blockchain,"Nyzo is an open-source, decentralized, democratic, and efficient blockchain. The block time is seven seconds, and the system focuses on scalability. The project is built from all-new code with a focus on being easy to use."
BUBO,Budbo,budbo-1,,,,,
UCT,Ubique Chain Of Things,ubique-chain-of-things,,,,,
VRTM,VRTM,vrtm,,,,,
MAD,Moroccan Dirham,moroccan-dirham,,,,,
XEV,EvoPoints,evopoints,,,,,
DBG,Digital Bullion Gold,digital-bullion-gold,,,,,
STRC,StarCredits,starcredits,,,,,
HBX,HashBX,hashbx,,,,,
UIS,Unitus,unitus,,,,,
SHA,SHACoin,shacoin,,,,,
LATX,LatiumX,latiumx,,,,,
ADC,AudioCoin,audiocoin,,,,,
BSTK,BattleStake,battlestake,,,,,
GLTC,GlobalTradeCoin,globaltradecoin,,,,,
YEC,Ycash,ycash,,Currencies,Payments,The First “Friendly Fork” of the Zcash Blockchain,
BNTY,Bounty0x,bounty0x,,,,Decentralized bounty marketplace,Bounty0x is a decentralized marketplace for listing and completing various paid tasks called bounties.
MVDSC,MVDSC,mvdsc,,,,,
NAST,Node All Stars,node-all-stars,,,,,
VEN,ImpulseVen,impulseven,,Decentralized Exchanges,Financial,,
XRH,Rhenium,rhenium,,,,,
WETH,WETH,weth,,,,An ERC20 compatible version of Ether ,Wrapped Ether is an ERC-20 token backed 1:1 with Ether.
DBTC,Debitcoin,debitcoin,,,,,
FURY,FURY,fury,,,,,
AIB,Advanced Internet Blocks,advanced-internet-blocks,,,,,
SI.COMM,Silver,silver,,,,,
ZCL,Zclassic,zclassic,,,,Zcash without the founders reward,Zclassic is a fork of Zcash that removes the founders reward and instead distributes all mining rewards directly to miners. 
ICO,ICOBI,icobi,,,,,
GMR,Gimmer,gimmer-1,,,,,
MAVRO,Mavro,mavro-1,,,,,
XVGCT,XVGCT,xvgct,,,,,
HFS,HolderSwap,holderswap,,,,,
SPKTR,Ghost Coin,ghost-coin,,,,,
CUSD,Carbon,carbon,,Stablecoins,Payments,A USD-pegged stablecoin powered by Hedera Hashgraph,"Carbon is a stablecoin based on a basket of whitelisted collateral tokens.
"
ETHERNEX,Ethernex,ethernex,,,,,
VALUE,Value Liquidity,value-liquidity,,Payment Platforms,Financial,,
GXG,GroinCoin,groincoin,,,,,
NUM,NumbersCoin,numberscoin,,,,,
HKD,Hong Kong Dollar,hong-kong-dollar,,,,,
PREMINE,Premine,premine,,,,,
EMP,Empty,empty,,,,,
RH,RH,rh,,,,,
PSY,Psilocybin,psilocybin,,,,,
XCHE,CheCoin,checoin,,,,,
CLOUT,Clout,clout-1,,,,,
XSTC,Safe Trade Coin,safe-trade-coin,,,,,
IBT,ICOBay,icobay,,,,,
HST,Decision Token,decision-token,,,,,
UNITS,GameUnits,gameunits,,,,,
M2O,M2O,m2o,,,,,
SHIN,Shining Chain,shining-chain,,,,,
QBK,QuBuck,qubuck,,,,,
CARR,Carry,carry-1,,,,,
BMT,BMChain,bmchain,,,,,
REV,Revenu,revenu,,,,,
ABJC,Abjcoin Commerce,abjcoin-commerce,,,,,
FUNC,FUNCoin,funcoin,,,,,
ETX,ETX,etx,,,,,
COS,COS,cos-1,,,,,
CDN,Canada eCoin,canada-ecoin,,,,,
BOT,Bodhi,bodhi-1,,,,,
CNTF,Centurion Future,centurion-future,,,,,
ECASH,Ethereum Cash,ethereum-cash,,,,,
DROP,Dropil,dropil,,,,,
I0C,I0Coin,i0coin,,,,,
BITON,BITON,biton,,,,,
VULCANO,Vulcanocoin,vulcanocoin,,,,,
SI,Siren,siren,,Derivatives,Financial,,
F16,F16Coin,f16coin,,,,,
SHR,Sharering,sharering,,Misc,Infrastructure, A blockchain-powered marketplace for the sharing economy,ShareRing aims to make sharing and renting services quicker and simpler for everyone by creating an accessible global ecosystem for the sharing and renting economies. It aims to become the a trusted marketplace for the sharing community.
PTON,Foresting,foresting,,,,,
HUSH,Hush,hush-1,,,,,
CCB,CryptoClub,cryptoclub,,,,,
GETX,Guaranteed Ethurance Token Extra,guaranteed-ethurance-token-extra,,,,,
STO,SaveTheOceanCoin,savetheoceancoin,,,,,
VLT,Veltor,veltor,,,,,
LAZ,Lazarus,lazarus,,,,,
RCO,RCoin,rcoin,,,,,
WCL,Wowclassic,wowclassic,,,,,
RPX,Red Pulse Phoenix,red-pulse-phoenix-1,,,,,
SMBR,Sembro Token,sembro-token,,,,,
OMGA,OmGame,omgame,,,,,
HB,HeartBout,heartbout,,,,,
GOON,Goonies,goonies,,,,,
BEST,BestChain,bestchain,,,,,
FDX,FidentiaX,fidentiax-1,,,,,
NEF,NefariousCoin,nefariouscoin,,,,,
XDB,DragonSphere,dragonsphere,,,,,
BPL,Blockpool,blockpool-1,,,,,
PSI,PSIcoin,psicoin,,,,,
NOC,NOC,noc,,,,,
LCT,LendConnect,lendconnect,,,,,
CEC,Conservation of Energy Chain,conservation-of-energy-chain,,,,,
N8V,NativeCoin,nativecoin,,Currencies,Payments,A token designed for the gaming industry and Native Americans,"NativeCoin (N8V) is designed to meet the transactional needs of tribal enterprises, casinos, resorts, and betting operations in both brick-and-mortar locations as well as online gaming platforms and will integrate seamlessly with existing casino operations. NativeCoin is not exclusively intended for Tribal use and can also be used by private businesses, international shippers, and for private transactions."
NEU,Neumark,neumark,,,,,
YOZI,YoZi,yozi,,,,,
MVR,MVR,mvr,,,,,
KST,StarCoin,starcoin,,,,,
J,Joincoin,joincoin,,,,,
Pirate,PirateCash,piratecash,,Currencies,Payments,,
SDAO,Solar DAO,solar-dao-1,,,,,
PLACO,PlayerCoin,playercoin,,,,,
Hue,Hue,hue,,,,,
TRST,WeTrust,wetrust-1,,,,,
ETG,Ethereum Gold,ethereum-gold,,,,,
cEUR,Celo Euro,celo-euro,,Stablecoins,Payments,,"Celo Euro (cEUR) is a stablecoin that follows the Euro and is native to the Celo blockchain's Reserve system. The Celo Reserve is a system of smart contracts that uses a portfolio of cryptocurrencies to expand and contract the supply cEUR, similar to MakerDAO's lending protocol. cEUR is backed in part by Celo's native asset CELO, along with other digital assets, including BTC, ETH, and other stablecoins. Users can send and receive cEUR by using a wallet that supports, such as the Valora wallet, which can transfer Celo-based digital currencies directly to phone numbers."
SKR,Sakuracoin,sakuracoin,,,,,
IPSX,IP Exchange,ip-exchange-1,,,,,
RHOC,RChain,rchain,,Smart Contract Platforms,Infrastructure,The Concurrent Blockchain,"RChain is an open source project that intends to be a decentralized, economic, censorship-resistant, public compute infrastructure and blockchain that will host and execute smart contracts."
NTM,NetM,netm,,,,,
HTML5,HTML5 Coin,html5-coin,,,,,
AMM,MicroMoney,micromoney-1,,,,,
PNX,Phantomx,phantomx,,,,,
PXS,PXS,pxs,,,,,
KTK,Kryptkoin,kryptkoin,,,,,
INPAY,InPay,inpay,,,,,
RBIT,ReturnBit,returnbit,,,,,
CLUB,ClubCoin,clubcoin,,,,,
VAPOR,Vaporcoin,vaporcoin,,,,,
UAE,UAE,uae,,,,,
CHT,Countinghouse,countinghouse,,,,,
ALL,Allion,allion-1,,,,,
SDASH,ScryptDashCoin,scryptdashcoin,,,,,
GPU,GPU Coin,gpu-coin,,,,,
WOLF,Moonwolf.io,moonwolf-io,,,,,
GAP,Gapcoin,gapcoin,,,,,
BOMB,BombCoin,bombcoin,,,,,
RAP,Rapture,rapture,,,,,
SZC,ShopZcoin,shopzcoin,,,,,
CRIME,CRIME,crime,,,,,
KOBO,Kobocoin,kobocoin,,,,,
BTWTY,Bit20,bit20,,,,,
ANTX,Antimatter,antimatter,,,,,
HELMET,Helmet Insure,helmet-insure,,,,,
CATCOIN,Catcoin,catcoin,,,,,
DOPE,DopeCoin,dopecoin,,,,,
BTC++,PieDAO BTC,piedao-btc,,,,,
SSTC,SunShotCoin,sunshotcoin,,,,,
ITT,Intelligent Trading Foundation,intelligent-trading-foundation,,,,,
QWS,QWS,qws,,,,,
ALQO,ALQO,alqo,,,,,
TOT,TotCoin,totcoin,,,,,
CXT,Coinonat,coinonat,,,,,
BCK,BCK,bck,,,,,
SLEVIN,Slevin,slevin,,,,,
ROC,RoosterCoin,roostercoin,,,,,
CEFS,CryptopiaFeeShares,cryptopiafeeshares,,,,,
NPLC,Plus Coin,plus-coin,,,,,
NIXON,NIXON,nixon,,,,,
GREENENERGYTOKEN,GreenEnergyToken,greenenergytoken,,,,,
WIZ,CrowdWiz,crowdwiz-1,,,,,
PAUL,Paul,paul,,,,,
HUF,Hungarian Forint,hungarian-forint,,,,,
CIF,Crypto Improvement Fund,crypto-improvement-fund-1,,,,,
DUST,DUST,dust,,,,,
MOBI,Mobius,mobius,,,,dApp Store and payments platform,
LION,Coin Lion,coin-lion,,,,,
GOLD,GoldenCoin,goldencoin,,,,,
MDZ,MDZ,mdz,,,,,
ZCN,0Chain,0chain-1,,,,,
EDIT,EDIT,edit,,,,,
DAS,DA$,da,,,,,
BCPT,Blockmason,blockmason,,Lending,Financial,System for recording debts and credit between entities,"The Blockmason Credit Protocol (CP), created by blockchain development company Blockmason, is a credit tracking system built on Ethereum and has since expanded to Binance Chain. Blockmason CP users send a debt or credit requests to other participants, market by an Ethereum or Binance chain address. Once confirmed by the recipient, these requests are recorded and stored in the Credit Protocol's smart contract. The BCPT token acts as a license to use the Credit Protocol, as users most hold the BCPT token to access the network."
QNTU,Quanta Utility Token,quanta-utility-token,,,,,
INDEX,Index Cooperative,index-cooperative,,Asset Management,Financial,,
RHO,Rhodiumcoin,rhodiumcoin,,,,,
DECR,Decryptr,decryptr,,,,,
SKC,Skeincoin,skeincoin,,,,,
BIS,Bismuth,bismuth,,,,,
PIRL,Pirl,pirl,,,,,
HLW,HLWCoin,hlwcoin,,,,,
OLV,OLDV,oldv,,,,,
OLIT,Olitwist,olitwist,,,,,
BCI,Bitcoin Interest,bitcoin-interest-1,,,,,
GOLDX,HelloGold,hellogold,,,,A gold-backed digital asset,"HelloGold is a gold-backed token initially built on Ethereum before migrating to a stand-alone blockchain protocol.
"
